,Stop ID,Name,Agency,X,Y
0,1091723,Ferry Building,Blue & Gold Fleet,-122.39347279999998,37.7955169
1,1091724,Pier 41,Blue & Gold Fleet,-122.412259,37.809525
2,1091722,Angel Island Ferry Terminal,Blue & Gold Fleet,-122.435241,37.868787
3,1091728,Tiburon Ferry Terminal,Blue & Gold Fleet,-122.455382,37.872644
4,1091727,Sausalito Ferry Terminal,Blue & Gold Fleet,-122.477686,37.856185
0,99440,Broadway Pier,MTS,-117.1734067,32.71603823
1,99439,Coronado Ferry Landing,MTS,-117.1697197,32.69920913
2,99441,5th Av Pier,MTS,-117.1615507,32.70453869
0,12048538,Pier 41,San Francisco Bay Ferry,-122.412272,37.809594
1,12030042,Alameda Main Street,San Francisco Bay Ferry,-122.29415690209999,37.7911533139
2,12030043,Oakland Terminal,San Francisco Bay Ferry,-122.279777,37.795032
3,890001,San Francisco Ferry Building (Gate E),San Francisco Bay Ferry,-122.391612,37.795106
4,12048536,Harbor Bay Ferry Terminal,San Francisco Bay Ferry,-122.256966,37.736528
5,12030041,South San Francisco,San Francisco Bay Ferry,-122.377245,37.662676
6,12048537,San Francisco Ferry Building (Gate B),San Francisco Bay Ferry,-122.393209,37.796869
7,12149044,Vallejo Ferry Terminal,San Francisco Bay Ferry,-122.2630766052,38.0998843232
8,1222694,Mare Island Terminal,San Francisco Bay Ferry,-122.2687821316,38.1013175465
0,818733,"Berkeley Marina, Berkeley CA",Tideline Water Taxi,-122.31393184362,37.864539695513
1,818727,San Francisco Pier 1.5,Tideline Water Taxi,-122.3950251,37.7974815
0,43003,Sausalito Ferry Terminal,Golden Gate Transit,-122.478249,37.856403
1,43000,San Francisco Ferry Terminal,Golden Gate Transit,-122.391617,37.796169
2,43004,Larkspur Ferry Terminal,Golden Gate Transit,-122.508736,37.945316
3,43007,Tiburon Ferry,Golden Gate Transit,-122.456276,37.873226
